YEAR,ESCP,SM1,SM2,SM1_WT,SM2_WT,R1_1,R1_2,R2_1,R1_3,R2_2,R2_3,RTRN,LBBRUN,PDO_BRYR+4,MEFL_AGE13
1968,90958,.,.,.,.,0,86418,115,42653,14079,2588,145853,63.5,-0.92,545
1969,46964,.,.,.,.,231,12833,204,85255,6389,5484,110919,25.66,-0.8,559
1970,38797,.,.,.,.,0,38507,299,8744,69392,51297,168239,10.71,-0.34,538
1971,91887,.,.,.,.,0,36811,268,107438,101308,49258,295083,15.02,-1.1,556
1972,115486,.,.,.,.,494,115995,0,103393,114377,38332,372639,37.31,0.01,566
1973,40880,.,.,.,.,473,119001,2433,176558,38748,4521,341734,38.64,0.23,555
1974,71335,.,.,.,.,2753,206299,0,80966,34636,16890,342896,23.5,0.24,568
1975,45687,.,.,.,.,0,180735,0,111456,20631,8674,321496,31.47,0.34,529
1976,136595,.,.,.,.,1801,246019,0,368002,33921,41339,691521,61.77,0.6,562
1977,156616,.,.,.,.,4087,149175,0,358213,51526,46725,609725,107.27,0.92,544
1978,112484,.,401000,.,5.1,0,172022,465,364328,104561,53261,694637,103.33,0.11,553
1979,152503,1865000,1010000,2.8,4.8,2464,407157,0,204448,111795,52405,782400,61.75,1.65,536
1980,182284,4140000,1328000,2.9,5,0,263580,576,484494,257918,71037,1081103,72.81,0.84,529
1981,252460,6817000,2869000,2.9,5.2,0,853482,1740,678387,219784,94814,1850929,90.74,0.45,547
1982,172470,11390000,4001000,3.3,4.3,2185,529350,266,342715,264940,140691,1281861,81.34,1.24,552
1983,205361,12580000,2223000,2.6,4.6,0,345918,482,352739,238804,64100,1003028,63.03,1.82,547
1984,226469,5268000,3540000,2.6,3.4,702,255320,380,160754,248894,88707,757118,52.69,0.53,548
1985,501071,1074000,2549000,2.2,3.6,142,60918,126,130690,120940,49327,362906,52.37,-0.18,525
1986,270559,2056000,3009000,2.5,4.1,0,99638,0,230784,188169,148945,668119,69.75,-0.36,526
1987,243244,3109000,3521000,2.7,4.4,641,132011,161,327504,247266,173852,882204,95.08,-0.42,529
1988,194322,3961000,2320000,2.6,4,0,159133,733,197095,172862,132471,662506,92.69,0.93,547
1989,154070,2353000,1973000,2.6,5.3,0,63665,588,187733,144806,111827,508618,90.78,1.42,535
1990,137317,2058000,1833000,.,4.2,565,146985,0,109223,173632,68092,498496,102.11,-0.15,538
1991,223492,7189000,1717000,2.6,4.9,0,220799,0,414143,205266,102543,942751,106.47,0.64,562
1992,181394,7174000,2342000,2.8,4.4,385,185606,0,452323,122098,51762,813667,114.46,0.64,548
1993,142111,4593000,1041000,2.8,4.7,0,145234,0,155126,125492,91908,519995,100.59,1.46,526
1994,204604,3924000,1617000,3.2,5.2,0,194729,1878,296657,196341,73731,763335,58.24,0.25,543
1995,188698,2971000,942000,3.9,5.4,387,236558,372,190108,55930,42080,528759,39.96,-1.06,552
1996,252213,3654000,1026000,3.8,5.8,0,207479,1197,376243,109011,52977,748858,60.78,-0.59,547
1997,254459,3474000,804000,3.9,5,401,216921,704,278384,118620,65317,680347,70.62,-0.56,549
1998,248220,3496000,2025000,3.2,5.1,1381,206143,4923,263290,247723,65215,789866,51.78,0.22,547
1999,301403,3217000,2121000,3.3,5.2,1539,278921,1338,224140,510723,139128,1156326,40.15,0.97,544
2000,253514,1379000,3328000,3.7,7.2,2962,613202,1269,467639,191201,111067,1387340,44.59,0.35,544
2001,308510,9572000,2245760,4.8,6.6,1284,419394,1914,581625,522187,117094,1644462,71.51,0.38,516
2002,225184,4127860,1010152,4.3,6.4,4738,672118,7811,300270,228613,60044,1273593,84.99,0.19,542
2003,341327,10213764,255924,3.9,7.4,10288,530899,1898,620190,290026,143315,1598617,84.05,-0.2,536
2004,521793,2587676,710558,4.5,5.9,7593,639449,2913,504549,300528,56106,1511138,89.85,-1.29,543
2005,358569,3029221,1137780,3.5,7.1,5826,129084,24238,246172,246172,206207,857699,86.44,-0.61,535
2006,387769,4280220,1517880,3.9,6.8,8116,218041,11584,245564,204610,41169,729084,80.83,-0.31,549
2007,364261,2096120,240000,4.7,9,8274,108891,21475,66436,236518,60962,504211,80.62,-1.23,535
2008,324880,1760000,.,5,12,11576,213953,27907,242772,288531,38056,822795,70.49,-1.1,540
2009,324783,.,2488632,5.9,12.3,42552,313226,10532,378971,231195,95595,1072070,59.4,-0.52,536
2010,293765,5288344,3047410,5.8,9.6,17613,419210,21090,480721,353959,45131,1340285,52.1,1.13,519
2011,244221,4039590,.,5.4,.,12603,196670,21194,141359,203406,106044,685430,63.6,1.63,527
2012,374523,.,4522960,.,7.6,14733,156914,7169,173630,208207,6145,571458,.,1.66,.
2013,487311,5309562,.,5.2,.,5601,294845,20095,77740,247574,3536,649391,.,.,.
2014,438023,.,901464,.,6.6,12365,354699,6778,246581,85044,5576,.,.,.,.
2015,470677,2854638,1366087,4.6,11.4,3688,320786,5242,227581,89165,.,.,.,.,.
2016,239981,3040644,797128,5.9,7,7936,492656,0,.,.,.,.,.,.,.
2017,358724,4517058,.,4,.,3566,.,.,.,.,.,.,.,.,.
