Susitna sockeye salmon runs estimated using genetic MSA estimates of stock-specific CF harvests.,,,,,,,,,,,,,,,,,,,,
Year,Stock,CFharvest,SFharvest,InriverAbundance,Spawners,Run,P02,P11,P03,P12,P21,P04,P13,P22,P31,P14,P23,P32,P24,P33
2006,Susitna,47575,2308,418197,415521,465772,0.0167,0.0037,0.0262,0.4977,0,0,0.3374,0.0567,0,0.0013,0.0604,0,0,0
2007,Susitna,252565,4921,327732,322444,580297,0.014,0.0024,0.026,0.1745,0.004,0,0.6327,0.058,0,0.0005,0.086,0.002,0,0
2008,Susitna,144407,4689,304449,299450,448856,0.0066,0.0121,0.0548,0.1278,0.0081,0.002,0.5795,0.0653,0,0.0045,0.1368,0.002,0.0005,0
2009,Susitna,103015,9783,217342,207308,320359,0.0183,0.0097,0.0183,0.2846,0.0135,0,0.4389,0.1271,0,0.0048,0.0848,0,0,0
2010,Susitna,115577,5449,190563,184472,306140,0.1003,0.0104,0.0342,0.3212,0.0111,0,0.2351,0.0514,0.0008,0,0.2339,0.0007,0,0.0008
2011,Susitna,224386,5906,314084,307647,538537,0.0032,0.0083,0.1674,0.1208,0.0393,0,0.557,0.0409,0,0.0018,0.0613,0,0,0
2012,Susitna,179295,5395,141622,135948,320917,0.0153,0.0163,0.0219,0.2466,0.035,0,0.4074,0.1225,0.0022,0.0163,0.1163,0,0,0
2013,Susitna,188666,9360,228650,219130,417316,0.0232,0.0451,0.0238,0.2294,0.0367,0,0.5263,0.0424,0,0.002,0.0711,0,0,0
2014,Susitna,136792,6095,167437,161759,304974,0.0166,0.0032,0.0142,0.3944,0,0,0.3365,0.1287,0,0.0072,0.0992,0,0,0
2015,Susitna,211380,5411,373915,367871,585240,0.0035,0.0024,0.0464,0.244,0.0129,0,0.5671,0.0305,0,0.0007,0.0912,0.0007,0,0.0007
2016,Susitna,125267,10207,312068,293607,429595,0.0358,0.0145,0.0538,0.2178,0.0268,0,0.4921,0.0588,0.0007,0.0023,0.0968,0.0005,0,0
2017,Susitna,189841,5092,208172,203038,398425,0.0013,0.0014,0.0067,0.2948,0,0,0.4819,0.0818,0,0.0027,0.1293,0,0,0
2018,Susitna,104524,6790,177956,161027,272746,0,0.0024,0,0.5146,0.0016,0,0.3567,0.1164,0.0008,0,0.0065,0,0.001,0
2019,Susitna,76518,11029,184471,172949,260972,0,0.0039,0.0007,0.4291,0,0,0.5328,0.0054,0,0,0.0282,0,0,0
2020,Susitna,42212,6340,207413,200705,249747,0,0.0079,0,0.2874,0.0014,0,0.5403,0.1059,0,0.0014,0.0558,0,0,0
